Department,Teacher,Link
智能感知工程系,孟凡勇,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/zhineng/202107/t20210721_365853.html
智能感知工程系,孟晓辰,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/zhineng/202107/t20210721_365854.html
智能感知工程系,张东亮,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/zhineng/202107/t20210721_365852.html
智能感知工程系,樊凡,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/zhineng/202107/t20210721_365911.html
智能感知工程系,卞晓蒙,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/zhineng/202111/t20211128_371431.html
智能感知工程系,鹿利单,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/zhineng/202111/t20211122_370979.html
智能感知工程系,潘志康,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/zhineng/202107/t20210721_365912.html
智能感知工程系,马宗庆,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/zhineng/202107/t20210721_365910.html
智能感知工程系,郑显通,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/zhineng/202107/t20210721_365909.html
智能感知工程系,魏向阳,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/zhineng/202111/t20211128_371432.html
智能感知工程系,冯玉林,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/zhineng/202305/t20230516_389278.html
智能感知工程系,陈伟强,https://gd.bistu.edu.cn/szdw/xyjs/anzhuanye/zhineng/202311/t20231120_439093.html
